"";"instant";"dteday";"season";"yr";"mnth";"hr";"holiday";"weekday";"workingday";"weathersit";"temp";"atemp";"hum";"windspeed";"casual";"registered";"cnt"
"11521";11521;"2012-04-30";2;1;4;5;0;1;1;1;0,38;0,3939;0,62;0,2537;1;19;20
"7158";7158;"2011-10-30";4;0;10;20;0;0;0;1;0,34;0,3636;0,57;0;18;74;92
"17075";17075;"2012-12-19";4;1;12;5;0;3;1;1;0,26;0,2879;0,75;0,0896;2;29;31
"10176";10176;"2012-03-05";1;1;3;1;0;1;1;1;0,24;0,2424;0,48;0,1343;3;3;6
"8555";8555;"2011-12-28";1;0;12;5;0;3;1;1;0,32;0,2879;0,57;0,3582;0;9;9
"10485";10485;"2012-03-17";1;1;3;23;0;6;0;1;0,5;0,4848;0,77;0,1642;34;151;185
"7896";7896;"2011-11-30";4;0;11;15;0;3;1;1;0,36;0,3333;0,46;0,3284;11;104;115
"14163";14163;"2012-08-18";3;1;8;7;0;6;0;1;0,6;0,5606;0,83;0,2239;12;52;64
"2749";2749;"2011-04-29";2;0;4;10;0;5;1;1;0,56;0,5303;0,4;0,2836;57;99;156
"13259";13259;"2012-07-11";3;1;7;15;0;3;1;1;0,8;0,7121;0,41;0,2537;56;220;276
"3492";3492;"2011-05-30";2;0;5;9;1;1;0;1;0,72;0,697;0,74;0,0896;47;81;128
"3501";3501;"2011-05-30";2;0;5;18;1;1;0;1;0,86;0,7879;0,41;0,1642;77;172;249
"9040";9040;"2012-01-17";1;1;1;13;0;2;1;2;0,38;0,3939;0,76;0,3284;8;95;103
"4559";4559;"2011-07-13";3;0;7;20;0;3;1;1;0,7;0,6667;0,84;0,1642;61;281;342
"10854";10854;"2012-04-02";2;1;4;9;0;1;1;1;0,38;0,3939;0,54;0,3582;52;265;317
"6843";6843;"2011-10-17";4;0;10;16;0;1;1;1;0,58;0,5455;0,56;0,2537;64;238;302
"8387";8387;"2011-12-21";1;0;12;2;0;3;1;2;0,36;0,3788;0,71;0;0;4;4
"13570";13570;"2012-07-24";3;1;7;14;0;2;1;2;0,84;0,803;0,53;0,2239;48;196;244
"2185";2185;"2011-04-05";2;0;4;21;0;2;1;1;0,34;0,2879;0,46;0,5224;8;81;89
"7120";7120;"2011-10-29";4;0;10;6;0;6;0;3;0,26;0,2273;0,87;0,3582;4;1;5
"2486";2486;"2011-04-18";2;0;4;11;0;1;1;2;0,54;0,5152;0,52;0,0896;36;87;123
"10497";10497;"2012-03-18";1;1;3;11;0;0;0;2;0,44;0,4394;0,82;0,1642;129;239;368
"1525";1525;"2011-03-08";1;0;3;21;0;2;1;1;0,3;0,2879;0,49;0,194;7;68;75
"2529";2529;"2011-04-20";2;0;4;6;0;3;1;1;0,42;0,4242;0,94;0,1642;2;62;64
"2849";2849;"2011-05-03";2;0;5;14;0;2;1;2;0,7;0,6515;0,58;0,5224;36;122;158
"1253";1253;"2011-02-25";1;0;2;8;0;5;1;3;0,36;0,3485;0,93;0,1343;3;70;73
"3322";3322;"2011-05-23";2;0;5;7;0;1;1;2;0,56;0,5303;0,94;0,1045;13;223;236
"13497";13497;"2012-07-21";3;1;7;13;0;6;0;3;0,6;0,5606;0,83;0,1642;106;248;354
"15572";15572;"2012-10-16";4;1;10;0;0;2;1;1;0,46;0,4545;0,63;0,3881;3;45;48
"338";338;"2011-01-15";1;0;1;13;0;6;0;1;0,28;0,2576;0,38;0,2985;21;80;101
"9932";9932;"2012-02-23";1;1;2;20;0;4;1;1;0,46;0,4545;0,44;0,1343;23;246;269
"10670";10670;"2012-03-25";2;1;3;16;0;0;0;1;0,48;0,4697;0,77;0;153;339;492
"12206";12206;"2012-05-28";2;1;5;18;1;1;0;1;0,8;0,7727;0,59;0,2985;132;251;383
"17009";17009;"2012-12-16";4;1;12;11;0;0;0;2;0,36;0,3485;0,87;0,1343;47;248;295
"12450";12450;"2012-06-07";2;1;6;22;0;4;1;1;0,6;0,6212;0,46;0,1642;35;193;228
"16575";16575;"2012-11-28";4;1;11;8;0;3;1;1;0,24;0,2121;0,6;0,2836;9;683;692
"3141";3141;"2011-05-15";2;0;5;18;0;0;0;1;0,56;0,5303;0,78;0,2537;60;177;237
"7400";7400;"2011-11-09";4;0;11;22;0;3;1;1;0,4;0,4091;0,87;0;9;105;114
"4163";4163;"2011-06-27";3;0;6;8;0;1;1;1;0,66;0,6212;0,74;0,194;29;418;447
"14464";14464;"2012-08-30";3;1;8;20;0;4;1;1;0,74;0,6818;0,58;0,1642;68;403;471
"9231";9231;"2012-01-25";1;1;1;12;0;3;1;1;0,32;0,3333;0,53;0,1343;46;147;193
"6608";6608;"2011-10-07";4;0;10;21;0;5;1;1;0,5;0,4848;0,68;0;22;144;166
"11943";11943;"2012-05-17";2;1;5;19;0;4;1;1;0,64;0,6212;0,31;0,194;86;451;537
"10269";10269;"2012-03-08";1;1;3;22;0;4;1;1;0,56;0,5303;0,49;0,3284;12;141;153
"10382";10382;"2012-03-13";1;1;3;16;0;2;1;1;0,72;0,6515;0,34;0,3881;53;312;365
"14088";14088;"2012-08-15";3;1;8;4;0;3;1;1;0,64;0,5758;0,83;0,1045;0;4;4
"13923";13923;"2012-08-08";3;1;8;7;0;3;1;2;0,7;0,6667;0,84;0,1642;24;458;482
"12312";12312;"2012-06-02";2;1;6;4;0;6;0;1;0,54;0,5152;0,68;0,2836;2;11;13
"8699";8699;"2012-01-03";1;1;1;6;0;2;1;1;0,14;0,1212;0,59;0,2836;4;81;85
"16767";16767;"2012-12-06";4;1;12;9;0;4;1;1;0,24;0,2273;0,48;0,194;19;257;276
"6481";6481;"2011-10-02";4;0;10;14;0;0;0;3;0,36;0,3485;0,81;0,1642;61;195;256
"4173";4173;"2011-06-27";3;0;6;18;0;1;1;1;0,74;0,6667;0,51;0;79;512;591
"11324";11324;"2012-04-22";2;1;4;0;0;0;0;2;0,46;0,4545;0,82;0,194;32;85;117
"6422";6422;"2011-09-30";4;0;9;3;0;5;1;1;0,52;0,5;0,83;0,1045;0;3;3
"16998";16998;"2012-12-16";4;1;12;0;0;0;0;2;0,36;0,3788;0,62;0;8;102;110
"12665";12665;"2012-06-16";2;1;6;21;0;6;0;2;0,64;0,6212;0,5;0,2239;98;192;290
"9065";9065;"2012-01-18";1;1;1;14;0;3;1;1;0,3;0,2727;0,33;0,3881;7;98;105
"12331";12331;"2012-06-02";2;1;6;23;0;6;0;1;0,56;0,5303;0,52;0,1045;53;185;238
"7172";7172;"2011-10-31";4;0;10;10;0;1;1;2;0,36;0,3485;0,57;0,1642;18;87;105
"13376";13376;"2012-07-16";3;1;7;12;0;1;1;1;0,84;0,7879;0,49;0,1343;79;158;237
"11655";11655;"2012-05-05";2;1;5;19;0;6;0;2;0,62;0,5909;0,73;0,3284;151;254;405
"7034";7034;"2011-10-25";4;0;10;16;0;2;1;1;0,56;0,5303;0,37;0,194;52;233;285
"15785";15785;"2012-10-24";4;1;10;21;0;3;1;2;0,62;0,6061;0,61;0,1045;33;280;313
"9146";9146;"2012-01-21";1;1;1;23;0;6;0;2;0,16;0,1515;0,8;0,2537;1;51;52
"7735";7735;"2011-11-23";4;0;11;21;0;3;1;1;0,36;0,3182;0,57;0,4627;0;66;66
"9015";9015;"2012-01-16";1;1;1;11;1;1;0;1;0,16;0,1515;0,59;0,2537;21;158;179
"12585";12585;"2012-06-13";2;1;6;13;0;3;1;2;0,7;0,6364;0,45;0,3881;52;203;255
"2346";2346;"2011-04-12";2;0;4;15;0;2;1;2;0,48;0,4697;0,77;0,5224;24;54;78
"8191";8191;"2011-12-12";4;0;12;22;0;1;1;1;0,26;0,303;0,7;0;0;71;71
"4055";4055;"2011-06-22";3;0;6;20;0;3;1;1;0,74;0,7121;0,74;0,1343;52;230;282
"16577";16577;"2012-11-28";4;1;11;10;0;3;1;1;0,3;0,3182;0,49;0,1045;17;144;161
"13960";13960;"2012-08-09";3;1;8;20;0;4;1;1;0,7;0,6515;0,54;0,2836;91;387;478
"5202";5202;"2011-08-09";3;0;8;15;0;2;1;1;0,86;0,7727;0,39;0,2836;58;106;164
"11105";11105;"2012-04-12";2;1;4;21;0;4;1;1;0,42;0,4242;0,35;0,1343;13;174;187
"1737";1737;"2011-03-18";1;0;3;0;0;5;1;1;0,42;0,4242;0,58;0,2836;5;24;29
